name	shape	dtype	nbytes	numel
tts.dp.sentence_encoder.text_embedder.char_embedder.weight	[163, 64]	float32	41728	10432
/sentence_encoder/Constant_7_output_0	[1]	int64	8	1
/sentence_encoder/Constant_8_output_0	[1]	int64	8	1
/sentence_encoder/Constant_6_output_0	[1]	int64	8	1
/predictor/Constant_2_output_0	[]	int64	8	1
/predictor/Constant_3_output_0	[1]	int64	8	1
/sentence_encoder/attn_encoder/attn_layers.0/Constant_87_output_0	[]	float32	4	1
/sentence_encoder/Mul_output_0	[3]	int64	24	3
/sentence_encoder/ConstantOfShape_output_0	[3]	int64	24	3
tts.dp.sentence_encoder.sentence_token	[1, 64, 1]	float32	256	64
/sentence_encoder/convnext/convnext.0/dwconv/Cast_output_0	[6]	int64	48	6
tts.dp.sentence_encoder.convnext.convnext.0.dwconv.weight	[64, 1, 5]	float32	1280	320
tts.dp.sentence_encoder.convnext.convnext.0.dwconv.bias	[64]	float32	256	64
tts.dp.sentence_encoder.convnext.convnext.0.norm.norm.weight	[64]	float32	256	64
tts.dp.sentence_encoder.convnext.convnext.0.norm.norm.bias	[64]	float32	256	64
tts.dp.sentence_encoder.convnext.convnext.0.pwconv1.weight	[256, 64, 1]	float32	65536	16384
tts.dp.sentence_encoder.convnext.convnext.0.pwconv1.bias	[256]	float32	1024	256
/sentence_encoder/convnext/convnext.0/act/Constant_output_0	[]	float32	4	1
/sentence_encoder/convnext/convnext.0/act/Constant_1_output_0	[]	float32	4	1
/sentence_encoder/convnext/convnext.0/act/Constant_2_output_0	[]	float32	4	1
tts.dp.sentence_encoder.convnext.convnext.0.pwconv2.weight	[64, 256, 1]	float32	65536	16384
tts.dp.sentence_encoder.convnext.convnext.0.pwconv2.bias	[64]	float32	256	64
tts.dp.sentence_encoder.convnext.convnext.0.gamma	[1, 64, 1]	float32	256	64
tts.dp.sentence_encoder.convnext.convnext.1.dwconv.weight	[64, 1, 5]	float32	1280	320
tts.dp.sentence_encoder.convnext.convnext.1.dwconv.bias	[64]	float32	256	64
tts.dp.sentence_encoder.convnext.convnext.1.norm.norm.weight	[64]	float32	256	64
tts.dp.sentence_encoder.convnext.convnext.1.norm.norm.bias	[64]	float32	256	64
tts.dp.sentence_encoder.convnext.convnext.1.pwconv1.weight	[256, 64, 1]	float32	65536	16384
