idx	op_type	name	inputs	outputs
0	Gather	/text_encoder/text_embedder/char_embedder/Gather	['tts.ttl.text_encoder.text_embedder.char_embedder.weight', 'text_ids']	['/text_encoder/text_embedder/char_embedder/Gather_output_0']
1	Transpose	/speech_prompted_text_encoder/Transpose_1	['text_mask']	['/speech_prompted_text_encoder/Transpose_1_output_0']
2	MatMul	/speech_prompted_text_encoder/attention1/W_value/linear/MatMul	['style_ttl', 'onnx::MatMul_3680']	['/speech_prompted_text_encoder/attention1/W_value/linear/MatMul_output_0']
3	MatMul	/speech_prompted_text_encoder/attention2/W_value/linear/MatMul	['style_ttl', 'onnx::MatMul_3684']	['/speech_prompted_text_encoder/attention2/W_value/linear/MatMul_output_0']
4	Unsqueeze	/text_encoder/attn_encoder/Unsqueeze	['text_mask', '/text_encoder/attn_encoder/Constant_output_0']	['/text_encoder/attn_encoder/Unsqueeze_output_0']
5	Unsqueeze	/text_encoder/attn_encoder/Unsqueeze_1	['text_mask', '/text_encoder/attn_encoder/Constant_1_output_0']	['/text_encoder/attn_encoder/Unsqueeze_1_output_0']
6	Transpose	/text_encoder/text_embedder/Transpose	['/text_encoder/text_embedder/char_embedder/Gather_output_0']	['/text_encoder/text_embedder/Transpose_output_0']
7	Add	/speech_prompted_text_encoder/attention1/W_value/linear/Add	['tts.ttl.speech_prompted_text_encoder.attention1.W_value.linear.bias', '/speech_prompted_text_encoder/attention1/W_value/linear/MatMul_output_0']	['/speech_prompted_text_encoder/attention1/W_value/linear/Add_output_0']
8	Unsqueeze	/speech_prompted_text_encoder/attention1/Unsqueeze_6	['/speech_prompted_text_encoder/Transpose_1_output_0', '/speech_prompted_text_encoder/attention1/Constant_10_output_0']	['/speech_prompted_text_encoder/attention1/Unsqueeze_6_output_0']
9	Add	/speech_prompted_text_encoder/attention2/W_value/linear/Add	['tts.ttl.speech_prompted_text_encoder.attention2.W_value.linear.bias', '/speech_prompted_text_encoder/attention2/W_value/linear/MatMul_output_0']	['/speech_prompted_text_encoder/attention2/W_value/linear/Add_output_0']
10	Mul	/text_encoder/attn_encoder/Mul	['/text_encoder/attn_encoder/Unsqueeze_output_0', '/text_encoder/attn_encoder/Unsqueeze_1_output_0']	['/text_encoder/attn_encoder/Mul_output_0']
11	Mul	/text_encoder/text_embedder/Mul	['/text_encoder/text_embedder/Transpose_output_0', 'text_mask']	['/text_encoder/text_embedder/Mul_output_0']
12	Split	/speech_prompted_text_encoder/attention1/Split_2	['/speech_prompted_text_encoder/attention1/W_value/linear/Add_output_0', '/speech_prompted_text_encoder/attention1/Constant_6_output_0']	['/speech_prompted_text_encoder/attention1/Split_2_output_0', '/speech_prompted_text_encoder/attention1/Split_2_output_1']
13	Equal	/speech_prompted_text_encoder/attention1/Equal	['/speech_prompted_text_encoder/attention1/Unsqueeze_6_output_0', '/speech_prompted_text_encoder/attention1/Constant_11_output_0']	['/speech_prompted_text_encoder/attention2/Cast_output_0']
14	Split	/speech_prompted_text_encoder/attention2/Split_2	['/speech_prompted_text_encoder/attention2/W_value/linear/Add_output_0', '/speech_prompted_text_encoder/attention1/Constant_6_output_0']	['/speech_prompted_text_encoder/attention2/Split_2_output_0', '/speech_prompted_text_encoder/attention2/Split_2_output_1']
15	Equal	/text_encoder/attn_encoder/attn_layers.0/Equal	['/text_encoder/attn_encoder/Mul_output_0', '/speech_prompted_text_encoder/attention1/Constant_11_output_0']	['/text_encoder/attn_encoder/attn_layers.3/Cast_5_output_0']
16	Mul	/text_encoder/convnext/convnext.0/Mul	['/text_encoder/text_embedder/Mul_output_0', 'text_mask']	['/text_encoder/convnext/convnext.0/Mul_output_0']
17	Unsqueeze	/speech_prompted_text_encoder/attention1/Unsqueeze_4	['/speech_prompted_text_encoder/attention1/Split_2_output_0', '/speech_prompted_text_encoder/attention1/Constant_10_output_0']	['/speech_prompted_text_encoder/attention1/Unsqueeze_4_output_0']
18	Unsqueeze	/speech_prompted_text_encoder/attention1/Unsqueeze_5	['/speech_prompted_text_encoder/attention1/Split_2_output_1', '/speech_prompted_text_encoder/attention1/Constant_10_output_0']	['/speech_prompted_text_encoder/attention1/Unsqueeze_5_output_0']
19	Unsqueeze	/speech_prompted_text_encoder/attention2/Unsqueeze_4	['/speech_prompted_text_encoder/attention2/Split_2_output_0', '/speech_prompted_text_encoder/attention1/Constant_10_output_0']	['/speech_prompted_text_encoder/attention2/Unsqueeze_4_output_0']
20	Unsqueeze	/speech_prompted_text_encoder/attention2/Unsqueeze_5	['/speech_prompted_text_encoder/attention2/Split_2_output_1', '/speech_prompted_text_encoder/attention1/Constant_10_output_0']	['/speech_prompted_text_encoder/attention2/Unsqueeze_5_output_0']
21	Concat	/speech_prompted_text_encoder/attention1/Concat_2	['/speech_prompted_text_encoder/attention1/Unsqueeze_4_output_0', '/speech_prompted_text_encoder/attention1/Unsqueeze_5_output_0']	['/speech_prompted_text_encoder/attention1/Concat_2_output_0']
22	Concat	/speech_prompted_text_encoder/attention2/Concat_2	['/speech_prompted_text_encoder/attention2/Unsqueeze_4_output_0', '/speech_prompted_text_encoder/attention2/Unsqueeze_5_output_0']	['/speech_prompted_text_encoder/attention2/Concat_2_output_0']
23	Pad	/text_encoder/convnext/convnext.0/dwconv/Pad	['/text_encoder/convnext/convnext.0/Mul_output_0', '/text_encoder/convnext/convnext.0/dwconv/Cast_output_0']	['/text_encoder/convnext/convnext.0/dwconv/Pad_output_0']
24	Conv	/text_encoder/convnext/convnext.0/dwconv/Conv	['/text_encoder/convnext/convnext.0/dwconv/Pad_output_0', 'tts.ttl.text_encoder.convnext.convnext.0.dwconv.weight', 'tts.ttl.text_encoder.convnext.convnext.0.dwconv.bias']	['/text_encoder/convnext/convnext.0/dwconv/Conv_output_0']
25	Mul	/text_encoder/convnext/convnext.0/Mul_1	['/text_encoder/convnext/convnext.0/dwconv/Conv_output_0', 'text_mask']	['/text_encoder/convnext/convnext.0/Mul_1_output_0']
26	Transpose	/text_encoder/convnext/convnext.0/norm/Transpose	['/text_encoder/convnext/convnext.0/Mul_1_output_0']	['/text_encoder/convnext/convnext.0/norm/Transpose_output_0']
27	LayerNormalization	/text_encoder/convnext/convnext.0/norm/norm/LayerNormalization	['/text_encoder/convnext/convnext.0/norm/Transpose_output_0', 'tts.ttl.text_encoder.convnext.convnext.0.norm.norm.weight', 'tts.ttl.text_encoder.convnext.convnext.0.norm.norm.bias']	['/text_encoder/convnext/convnext.0/norm/norm/LayerNormalization_output_0']
28	Transpose	/text_encoder/convnext/convnext.0/norm/Transpose_1	['/text_encoder/convnext/convnext.0/norm/norm/LayerNormalization_output_0']	['/text_encoder/convnext/convnext.0/norm/Transpose_1_output_0']
