name	shape	dtype	nbytes	numel
tts.ttl.vector_field.proj_in.net.weight	[512, 144, 1]	float32	294912	73728
onnx::MatMul_3118	[256, 256]	float32	262144	65536
onnx::MatMul_3163	[256, 256]	float32	262144	65536
onnx::MatMul_3208	[256, 256]	float32	262144	65536
onnx::MatMul_3253	[256, 256]	float32	262144	65536
/Constant_output_0	[3]	int64	24	3
/Constant_2_output_0	[]	int64	8	1
onnx::MatMul_3102	[256, 256]	float32	262144	65536
onnx::MatMul_3103	[256, 256]	float32	262144	65536
onnx::ReduceSum_1279	[2]	int64	16	2
/vector_field/main_blocks.3/attn/Constant_40_output_0	[1]	int64	8	1
tts.ttl.vector_field.main_blocks.5.attention.W_value.linear.bias	[256]	float32	1024	256
onnx::MatMul_3147	[256, 256]	float32	262144	65536
onnx::MatMul_3148	[256, 256]	float32	262144	65536
tts.ttl.vector_field.main_blocks.11.attention.W_value.linear.bias	[256]	float32	1024	256
onnx::MatMul_3192	[256, 256]	float32	262144	65536
onnx::MatMul_3193	[256, 256]	float32	262144	65536
tts.ttl.vector_field.main_blocks.17.attention.W_value.linear.bias	[256]	float32	1024	256
onnx::MatMul_3237	[256, 256]	float32	262144	65536
onnx::MatMul_3238	[256, 256]	float32	262144	65536
tts.ttl.vector_field.main_blocks.23.attention.W_value.linear.bias	[256]	float32	1024	256
tts.ttl.vector_field.main_blocks.3.attn.W_key.linear.bias	[256]	float32	1024	256
tts.ttl.vector_field.main_blocks.3.attn.W_value.linear.bias	[256]	float32	1024	256
/vector_field/main_blocks.3/attn/Constant_15_output_0	[]	int64	8	1
/vector_field/main_blocks.3/attn/Constant_44_output_0	[]	float32	4	1
/vector_field/main_blocks.5/attention/Constant_6_output_0	[2]	int64	16	2
tts.ttl.vector_field.main_blocks.9.attn.W_key.linear.bias	[256]	float32	1024	256
tts.ttl.vector_field.main_blocks.9.attn.W_value.linear.bias	[256]	float32	1024	256
tts.ttl.vector_field.main_blocks.15.attn.W_key.linear.bias	[256]	float32	1024	256
tts.ttl.vector_field.main_blocks.15.attn.W_value.linear.bias	[256]	float32	1024	256
tts.ttl.vector_field.main_blocks.21.attn.W_key.linear.bias	[256]	float32	1024	256
tts.ttl.vector_field.main_blocks.21.attn.W_value.linear.bias	[256]	float32	1024	256
/vector_field/time_encoder/sinusoidal/Constant_output_0	[1]	int64	8	1
/Constant_5_output_0	[1]	int64	8	1
/vector_field/main_blocks.3/attn/Constant_5_output_0	[4]	int64	32	4
/vector_field/main_blocks.0/convnext.0/dwconv/Cast_output_0	[6]	int64	48	6
tts.ttl.vector_field.main_blocks.3.attn.increments	[1, 1000, 1]	int64	8000	1000
/vector_field/time_encoder/sinusoidal/Constant_2_output_0	[]	float32	4	1
/Expand_output_0	[1, 50, 256]	float32	51200	12800
tts.ttl.vector_field.main_blocks.0.convnext.0.dwconv.weight	[512, 1, 5]	float32	10240	2560
tts.ttl.vector_field.main_blocks.0.convnext.0.dwconv.bias	[512]	float32	2048	512
/vector_field/time_encoder/sinusoidal/Constant_3_output_0	[1, 32]	float32	128	32
