idx	op_type	name	inputs	outputs
0	Shape	/Shape	['noisy_latent']	['/Shape_output_0']
1	Conv	/vector_field/proj_in/net/Conv	['noisy_latent', 'tts.ttl.vector_field.proj_in.net.weight']	['/vector_field/proj_in/net/Conv_output_0']
2	Transpose	/vector_field/main_blocks.3/Transpose_1	['text_emb']	['/vector_field/main_blocks.3/Transpose_1_output_0']
3	Transpose	/vector_field/main_blocks.3/Transpose_2	['latent_mask']	['/vector_field/main_blocks.3/Transpose_2_output_0']
4	Transpose	/vector_field/main_blocks.3/Transpose_3	['text_mask']	['/vector_field/main_blocks.3/Transpose_3_output_0']
5	MatMul	/vector_field/main_blocks.5/attention/W_value/linear/MatMul	['style_ttl', 'onnx::MatMul_3118']	['/vector_field/main_blocks.5/attention/W_value/linear/MatMul_output_0']
6	MatMul	/vector_field/main_blocks.11/attention/W_value/linear/MatMul	['style_ttl', 'onnx::MatMul_3163']	['/vector_field/main_blocks.11/attention/W_value/linear/MatMul_output_0']
7	MatMul	/vector_field/main_blocks.17/attention/W_value/linear/MatMul	['style_ttl', 'onnx::MatMul_3208']	['/vector_field/main_blocks.17/attention/W_value/linear/MatMul_output_0']
8	MatMul	/vector_field/main_blocks.23/attention/W_value/linear/MatMul	['style_ttl', 'onnx::MatMul_3253']	['/vector_field/main_blocks.23/attention/W_value/linear/MatMul_output_0']
9	Reshape	/Reshape	['total_step', '/Constant_output_0']	['/Reshape_output_0']
10	Reshape	/Reshape_1	['current_step', '/Constant_output_0']	['/Reshape_1_output_0']
11	Gather	/Gather	['/Shape_output_0', '/Constant_2_output_0']	['/Gather_output_0']
12	Mul	/vector_field/proj_in/Mul	['/vector_field/proj_in/net/Conv_output_0', 'latent_mask']	['/vector_field/proj_in/Mul_output_0']
13	MatMul	/vector_field/main_blocks.3/attn/W_key/linear/MatMul	['/vector_field/main_blocks.3/Transpose_1_output_0', 'onnx::MatMul_3102']	['/vector_field/main_blocks.3/attn/W_key/linear/MatMul_output_0']
14	MatMul	/vector_field/main_blocks.3/attn/W_value/linear/MatMul	['/vector_field/main_blocks.3/Transpose_1_output_0', 'onnx::MatMul_3103']	['/vector_field/main_blocks.3/attn/W_value/linear/MatMul_output_0']
15	ReduceSum	/vector_field/main_blocks.3/attn/ReduceSum	['/vector_field/main_blocks.3/Transpose_2_output_0', 'onnx::ReduceSum_1279']	['/vector_field/main_blocks.3/attn/ReduceSum_output_0']
