idx	op_type	name	inputs	outputs
0	Div	/Div	['latent', 'tts.ttl.normalizer.scale']	['/Div_output_0']
1	Shape	/Shape	['/Div_output_0']	['/Shape_output_0']
2	Gather	/Gather	['/Shape_output_0', '/Constant_output_0']	['/Gather_output_0']
3	Slice	/Slice	['/Shape_output_0', '/Constant_2_output_0', '/Constant_3_output_0', '/Constant_1_output_0']	['/Slice_output_0']
4	Squeeze	/Squeeze	['/Slice_output_0', '/Constant_1_output_0']	['/Squeeze_output_0']
5	Unsqueeze	/Unsqueeze	['/Gather_output_0', '/Constant_1_output_0']	['/Unsqueeze_output_0']
6	Unsqueeze	/Unsqueeze_1	['/Squeeze_output_0', '/Constant_1_output_0']	['/Unsqueeze_1_output_0']
7	Concat	/Concat	['/Unsqueeze_output_0', '/Constant_2_output_0', '/Constant_6_output_0', '/Unsqueeze_1_output_0']	['/Concat_output_0']
8	Reshape	/Reshape	['/Div_output_0', '/Concat_output_0']	['/Reshape_output_0']
9	Transpose	/Transpose	['/Reshape_output_0']	['/Transpose_output_0']
10	Shape	/Shape_2	['/Transpose_output_0']	['/Shape_2_output_0']
11	Gather	/Gather_1	['/Shape_2_output_0', '/Constant_output_0']	['/Gather_1_output_0']
12	Unsqueeze	/Unsqueeze_2	['/Gather_1_output_0', '/Constant_1_output_0']	['/Unsqueeze_2_output_0']
13	Concat	/Concat_1	['/Unsqueeze_2_output_0', '/Unsqueeze_3_output_0', '/Constant_2_output_0']	['/Concat_1_output_0']
14	Reshape	/Reshape_1	['/Transpose_output_0', '/Concat_1_output_0']	['/Reshape_1_output_0']
15	Mul	/Mul	['/Reshape_1_output_0', 'tts.ae.latent_std']	['/Mul_output_0']
16	Add	/Add	['/Mul_output_0', 'tts.ae.latent_mean']	['/Add_output_0']
17	Pad	/decoder/embed/Pad	['/Add_output_0', '/decoder/embed/Cast_output_0']	['/decoder/embed/Pad_output_0']
18	Conv	/decoder/embed/net/Conv	['/decoder/embed/Pad_output_0', 'onnx::Conv_1440', 'onnx::Conv_1441']	['/decoder/embed/net/Conv_output_0']
19	Pad	/decoder/convnext.0/dwconv/Pad	['/decoder/embed/net/Conv_output_0', '/decoder/embed/Cast_output_0']	['/decoder/convnext.0/dwconv/Pad_output_0']
20	Conv	/decoder/convnext.0/dwconv/net/Conv	['/decoder/convnext.0/dwconv/Pad_output_0', 'tts.ae.decoder.convnext.0.dwconv.net.weight', 'tts.ae.decoder.convnext.0.dwconv.net.bias']	['/decoder/convnext.0/dwconv/net/Conv_output_0']
21	Transpose	/decoder/convnext.0/norm/Transpose	['/decoder/convnext.0/dwconv/net/Conv_output_0']	['/decoder/convnext.0/norm/Transpose_output_0']
